"ride_id","driver_id","user_id","rating"
"3000300","","111513",""
"3000301","105864","102480","5"
"3000302","","112694",""
"3000305","","115605",""
"3000306","115461","115862",""
"3000307","","112170",""
"3000310","107422","103901",""
"3000312","100022","116212","4"
"3000313","","114562",""
"3000314","","110951",""
"3000322","109684","115278","5"
"3000324","","103077",""
"3000327","","116249",""
"3000328","100262","106337",""
"3000329","115581","117489",""
"3000336","114494","105461","1"
"3000337","106446","110454",""
"3000339","106196","114137","5"
"3000340","104714","103552",""
"3000342","","114755",""
"3000343","","108780",""
"3000344","114647","117402",""
"3000346","106711","105388","3"
"3000348","","115122",""
"3000351","","112749",""
"3000352","109752","113531","4"
"3000357","108709","117097","4"
"3000358","101128","110952","1"
"3000360","112140","110867","1"
"3000361","112312","103024",""
"3000363","107771","115451",""
"3000365","100590","106137","3"
"3000367","106375","105932",""
"3000368","","116087",""
"3000370","","102999",""
"3000374","112139","101916",""
"3000378","112157","100884","4"
"3000379","107606","116838",""
"3000381","114559","107543","4"
"3000383","","106989",""
"3000385","104220","111621","4"
"3000386","","116984",""
"3000387","108614","114461",""
"3000388","117541","103101",""
"3000389","101504","111405","1"
"3000392","105825","108290","5"
"3000394","110482","110304",""
"3000395","","101161",""
"3000396","","114449",""
"3000397","106894","102201","1"
"3000398","101257","108353","2"
"3000401","108297","104196",""
"3000402","","108906",""
"3000405","","110359",""
"3000406","","103339",""
"3000407","","116929",""
"3000410","","116741",""
"3000412","","101761",""
"3000415","115729","117438","1"
"3000416","101130","101462","1"
"3000418","109364","101738","1"
"3000420","112357","100661","4"
"3000424","106671","111346",""
"3000428","","107387",""
"3000429","116847","111716","3"
"3000432","","104941",""
"3000433","113261","116395","1"
"3000435","108967","112816",""
"3000437","117622","105074","4"
"3000439","107561","108787",""
"3000441","107106","116958","1"
"3000443","101402","110199",""
"3000446","101945","103886",""
"3000449","106414","111593",""
"3000454","112826","111621","2"
"3000455","110492","106622","1"
"3000457","113301","112368","4"
"3000458","","103840",""
"3000460","106978","112705","3"
"3000462","","115057",""
"3000463","","112754",""
"3000464","","116469",""
"3000465","","104499",""
"3000469","114773","108697",""
"3000470","100910","115063",""
"3000471","","101794",""
"3000472","","115509",""
"3000473","","105727",""
"3000476","111999","108882",""
"3000477","101332","112946","1"
"3000480","","101103",""
"3000481","112639","110444",""
"3000482","114815","108999","5"
"3000484","105556","106073",""
"3000485","","106905",""
"3000487","","116542",""
"3000489","","111578",""
"3000493","103568","101249","2"
"3000496","104533","108288",""
"3000497","","108983",""
"3000498","","113731",""
"3000499","105199","114641",""
"3000500","100672","103350","2"
"3000501","115125","109678",""
"3000502","","115709",""
"3000503","","110530",""
"3000506","111263","102450",""
"3000508","102598","103307",""
"3000510","117555","113560","5"
"3000511","","109465",""
"3000513","102760","108279",""
"3000514","","115481",""
"3000515","102338","108714","4"
"3000516","112414","109691",""
"3000519","","104046",""
"3000520","101129","116441",""
"3000522","","107554",""
"3000525","109336","114847",""
"3000526","107203","111716","5"
"3000527","104683","100743","1"
"3000529","110121","110721","3"
"3000530","","105411",""
"3000531","100694","104735","5"
"3000532","114625","117182","2"
"3000537","108688","113211","5"
"3000538","","103868",""
"3000539","106460","101793",""
"3000540","112711","109789","5"
"3000541","111377","106224","2"
"3000543","","109234",""
"3000546","101101","113007",""
"3000548","","109090",""
"3000549","106486","103136","4"
"3000550","108811","111244","2"
"3000553","","101626",""
"3000557","","114782",""
"3000562","105383","116492",""
"3000564","","108053",""
"3000565","111938","108118",""
"3000566","110011","101590","1"
"3000567","108666","104511",""
"3000568","105382","101424","1"
"3000571","","108730",""
"3000572","112069","105023","2"
"3000575","","108241",""
"3000576","","117567",""
"3000577","","102114",""
"3000579","115963","103457","1"
"3000580","111644","114731",""
"3000581","113378","113516","4"
"3000582","104684","105233",""
"3000584","","113772",""
"3000585","117526","107133","4"
"3000586","106590","117255","4"
"3000587","112921","104819",""
"3000590","","112803",""
"3000593","","100035",""
"3000594","114195","105506","1"
"3000596","","116253",""
"3000597","","107778",""
"3000598","110525","112653",""
"3000599","105573","111713","1"
"3000600","","101735",""
"3000604","116548","113440","4"
"3000606","110208","112352",""
"3000607","","106428",""
"3000608","106770","113248",""
"3000613","111664","116041","1"
"3000614","105563","111536","5"
"3000615","100506","108106",""
"3000620","","100848",""
"3000621","115791","103709","1"
"3000622","","112171",""
"3000623","104435","110285",""
"3000625","113836","100238","4"
"3000628","","105902",""
"3000630","","103295",""
"3000633","100787","100500","1"
"3000634","113964","113753",""
"3000635","101086","100568","4"
"3000639","102169","105788","1"
"3000643","105022","109518","1"
"3000646","","110729",""
"3000647","","100462",""
"3000648","105777","110993",""
"3000653","","105943",""
"3000654","101818","116749",""
"3000657","","103972",""
"3000658","116171","110280","4"
"3000659","","115904",""
"3000663","113085","108603","1"
"3000667","116944","105269","3"
"3000669","","112132",""
"3000672","100283","101811",""
"3000674","117152","103189","4"
"3000675","116956","115377","1"
"3000676","","101117",""
"3000677","112161","102283",""
"3000679","114012","114760","1"
"3000680","","105732",""
"3000682","","114971",""
"3000683","110493","110591","4"
"3000684","","101568",""
"3000685","109875","111925",""
"3000689","","101645",""
"3000691","108259","115512",""
"3000692","116550","115888","1"
"3000693","108245","110189","5"
"3000696","","108565",""
"3000697","110059","116135","2"
"3000700","","112879",""
"3000701","102936","109957",""
"3000704","116908","114572","4"
"3000705","107739","106778","1"
"3000707","","102013",""
"3000708","","116350",""
"3000709","","104702",""
"3000712","101571","113728","5"
"3000713","111226","105922","3"
"3000716","","100250",""
"3000717","109931","116422","2"
"3000723","103727","116731","5"
"3000725","100942","103032","5"
"3000726","","109115",""
"3000728","","101734",""
"3000729","116286","108794","1"
"3000730","108564","115900","3"
"3000732","108366","115623","5"
"3000733","107806","108106",""
"3000734","","105772",""
"3000737","","117618",""
"3000738","","112207",""
"3000739","","103526",""
"3000740","111711","103809","4"
"3000742","104756","105760",""
"3000743","111566","110450",""
"3000744","","112180",""
"3000745","","104741",""
"3000748","","111037",""
"3000750","113053","101979","4"
"3000751","103986","100342","2"
"3000752","114018","111675",""
"3000753","101562","105535","4"
"3000754","109246","112618","4"
"3000755","","108180",""
"3000756","110066","109860",""
"3000758","116560","105592","1"
"3000764","114086","110679",""
"3000765","","114918",""
"3000768","106565","104643",""
"3000769","108522","108244","4"
"3000770","114760","117457",""
"3000773","115233","112666","1"
"3000775","","107554",""
"3000777","","105468",""
"3000778","100313","106673","3"
"3000779","115849","110081","3"
"3000780","100394","105287","1"
"3000787","","103437",""
"3000788","114381","104975",""
"3000789","106357","104571",""
"3000795","103787","107509","4"
"3000796","","101394",""
"3000802","114032","117479",""
"3000806","106940","114643","4"
"3000807","","113288",""
"3000809","","101447",""
"3000810","","108393",""
"3000811","101713","109942","4"
"3000812","115821","100030","5"
"3000813","110600","106851","4"
"3000817","100869","115474",""
"3000819","113866","100542",""
"3000820","109455","110655",""
"3000823","102925","110530",""
"3000830","","103659",""
"3000831","107676","112202","1"
"3000832","","104490",""
"3000833","","112827",""
"3000834","110323","114287","5"
"3000835","111834","101566",""
"3000838","114038","100376","1"
"3000839","","116892",""
"3000844","","102562",""
"3000846","104651","100041","2"
"3000849","116754","101199",""
"3000850","","110508",""
"3000853","","111703",""
"3000855","115255","108156","1"
"3000857","","105834",""
"3000858","","102828",""
"3000859","110669","100985","1"
"3000861","107087","109446",""
"3000864","104712","103950","5"
"3000865","102041","116231",""
"3000869","","110067",""
"3000871","107196","115275",""
"3000872","108733","111414",""
"3000873","116824","103690",""
"3000874","","110750",""
"3000875","107047","106817",""
"3000877","107453","106285",""
"3000880","110004","110248",""
"3000881","","103584",""
"3000882","","110227",""
"3000886","110642","107004","4"
"3000890","","104656",""
"3000891","111817","101460","4"
"3000893","","108448",""
"3000896","102251","116036","1"
"3000898","","107537",""
"3000900","","108870",""
"3000901","102965","108205","4"
"3000906","","105387",""
"3000907","106452","113736","4"
"3000910","109663","117608","4"
"3000911","111460","115240","1"
"3000912","104147","109083",""
"3000915","","115136",""
"3000922","","117413",""
"3000926","","104044",""
"3000927","","109352",""
"3000928","113004","105756","5"
"3000929","103515","105941","1"
"3000932","","101454",""
"3000934","106684","117047","5"
"3000935","103404","103021",""
"3000937","107792","107029","5"
"3000939","112097","116207","1"
"3000941","","110255",""
"3000942","111672","104224",""
"3000946","","110428",""
"3000947","","116584",""
"3000948","","106418",""
"3000952","","100462",""
"3000956","102686","106830",""
"3000957","","105545",""
"3000958","108461","100372",""
"3000960","113557","104741",""
"3000961","","102353",""
"3000962","115601","108445","1"
"3000963","","108331",""
"3000965","","106697",""
"3000967","101645","104319","5"
"3000968","","106209",""
"3000970","","112073",""
"3000971","104339","115740","5"
"3000972","107413","104235",""
"3000974","101692","100800","5"
"3000975","113144","117605",""
"3000977","","110112",""
"3000979","116471","100306",""
"3000981","","104328",""
"3000982","","109734",""
"3000983","","104661",""
"3000985","115728","105937","3"
"3000987","113786","104875","3"
"3000988","112275","108293",""
"3000990","109405","111333","1"
"3000993","113693","107729","2"
"3000996","117344","107674","4"
"3000997","110679","102364","5"
"3001001","110585","106028","1"
"3001003","101550","103135","1"
"3001006","","107285",""
"3001009","113078","103648",""
"3001010","113430","102423",""
"3001011","","110635",""
"3001012","114333","112484",""
"3001013","108706","101516","4"
"3001017","100639","105432","2"
"3001018","106341","102297","1"
"3019127","","106478",""
"3001022","110901","116622",""
"3001024","103094","105506","5"
"3001026","","103199",""
"3001027","115592","103011","4"
"3001028","","103339",""
"3001029","106217","111931","1"
"3001033","111036","101818","5"
"3001034","104309","114912",""
"3001036","102832","116333","1"
"3001038","115895","106129","5"
"3001039","","101144",""
"3001042","111709","100275",""
"3001044","110940","117029","4"
"3001045","113924","100075","3"
"3001046","","114141",""
"3001048","112071","108999","5"
"3001049","","101331",""
"3001050","109196","109479",""
"3001051","116322","103258","3"
"3001056","105170","100845",""
"3001057","106784","113236","1"
"3001058","","113725",""
"3001059","109086","115019","2"
"3001060","","104769",""
"3001062","108376","108669","1"
"3001066","","108394",""
"3001069","","104898",""
"3001073","104207","109290","5"
"3001078","","100929",""
"3001081","","104774",""
"3001082","112681","105730","4"
"3001084","","112393",""
"3001085","116107","102410","5"
"3001087","","106559",""
"3001088","","110587",""
"3001093","104292","115702",""
"3001099","101114","112630",""
"3001100","103988","103282",""
"3001101","","104142",""
"3001103","113539","100701","1"
"3001107","","107067",""
"3001109","","101940",""
"3001110","102586","117258",""
"3001112","","103361",""
"3001114","116895","100641","1"
"3001115","","112241",""
"3001119","","108412",""
"3001120","102824","100114","4"
"3001121","111138","108954","5"
"3001122","","116485",""
"3001124","107698","115888","4"
"3001125","","116894",""
"3001128","","105196",""
"3001129","104488","105180","1"
"3001130","","106685",""
"3001133","105552","110254","2"
"3001136","","100235",""
"3001137","105165","105337",""
"3001139","112164","102718",""
"3001140","101793","105363",""
"3001143","106312","105426","5"
"3001146","104344","104392","1"
"3001147","","110840",""
"3001148","103740","106172",""
"3001149","","104086",""
"3001151","114424","105578","4"
"3001152","116270","110534",""
"3001153","104271","112177","5"
"3001154","","112511",""
"3001155","","110706",""
"3001160","","109799",""
"3001163","112269","106977","5"
"3001166","","105475",""
"3001168","","114604",""
"3001169","","103481",""
"3001170","101191","105576",""
"3001171","104164","114109","4"
"3001172","116740","106782","5"
"3001173","104092","104594",""
"3001175","","113046",""
"3001176","117246","114967","1"
"3037661","","109444",""
"3001178","110878","111508",""
"3001181","","100919",""
"3001185","104751","106642","4"
"3001186","116805","101316",""
"3001188","100786","110589",""
"3001194","100272","103831","3"
"3001195","","103880",""
"3001197","","100642",""
"3001199","","108188",""
"3001202","114353","108746",""
"3001203","111667","105827","4"
"3001212","116821","111216","1"
"3001213","","112539",""
"3001214","","103837",""
"3001215","110541","104011","1"
"3001216","","105801",""
"3001217","108905","116413","2"
"3001219","103882","102494","3"
"3001221","101822","105508",""
"3001226","113996","108787",""
"3001227","106276","102057","1"
"3001228","107390","103074","4"
"3001287","","110121",""
"3001229","110867","110683",""
"3001230","108689","105177",""
"3001231","101153","106825",""
"3001232","","112118",""
"3001235","108176","113348","1"
"3001236","103983","113724","2"
"3001242","","107919",""
"3001244","","114900",""
"3001246","105293","107304","3"
"3001249","102048","109844",""
"3001250","101846","113588","1"
"3001253","104239","108538",""
"3001256","103907","114100","1"
"3001257","","107940",""
"3001261","","106441",""
"3001263","","115537",""
"3001264","110265","103113","4"
"3001265","","102007",""
"3001266","","101328",""
"3001270","100014","106792",""
"3001272","101982","117037","1"
"3001275","105012","113034","1"
"3001276","","115840",""
"3001277","117604","100182","5"
"3001278","","100450",""
"3001279","107380","113111","5"
"3001282","","109851",""
"3001283","100390","106991",""
"3001284","","106311",""
"3001288","","106017",""
"3001289","","103452",""
"3001290","101052","109740",""
"3001292","110243","117461","4"
"3001293","114164","106950","4"
"3001294","","102606",""
"3001295","","104436",""
"3001296","111141","105023","5"
"3001297","103981","116975","1"
"3001300","","111623",""
"3001304","","114852",""
"3001307","","109451",""
"3001308","103616","100587",""
"3001309","","113982",""
"3001310","116376","113131",""
"3001311","108170","102859","4"
"3001314","103337","113513","1"
"3001317","116645","100960",""
"3001320","111957","109362","1"
"3001324","116982","109911",""
"3001325","112322","102020","1"
"3001327","110804","100025",""
"3001328","","108544",""
"3001330","102112","114165","4"
"3001334","","114456",""
"3001335","108526","107906","4"
"3001341","114426","113487",""
"3001342","113460","107215","3"
"3001343","","109465",""
"3001346","","104094",""
"3001347","107609","111156",""
"3001348","102500","102504",""
"3001350","115953","110596",""
"3001353","111809","112766",""
"3001354","","103836",""
"3001356","","108574",""
"3001357","","102023",""
"3001358","","105816",""
"3001359","115974","108550",""
"3001362","113198","100964",""
"3001364","114026","110225",""
"3001370","100533","105705","4"
"3001373","105559","111179","1"
"3001375","","112089",""
"3001376","106926","104897","1"
"3001378","","117586",""
"3001382","","106922",""
"3001386","","100791",""
"3001387","","105523",""
"3001389","","108063",""
"3001390","105512","110526",""
"3001391","106531","110947","4"
"3001392","106518","112103",""
"3001395","","100216",""
"3001398","100905","108882",""
"3001399","112788","108129","1"
"3001400","","115658",""
"3001401","115486","112224",""
"3001405","111787","105017","5"
"3001407","","114671",""
"3001408","100806","109303","3"
"3001409","100844","103630","1"
"3001410","110480","108679",""
"3001411","113133","107548","5"
"3001412","","110490",""
"3001414","116163","102579","2"
"3001415","","116583",""
"3001416","108715","111940",""
"3001417","115611","102145","4"
"3001420","","115637",""
"3001423","110667","110681",""
"3001424","","100436",""
"3001430","112907","100079","5"
"3001431","113506","100306",""
"3001432","101519","109290","5"
"3001434","102687","103709","5"
"3001435","102671","110077",""
"3001437","109865","112978",""
"3001438","","107001",""
"3001439","","107300",""
"3001440","112885","107398",""
"3001446","102934","114660","4"
"3001447","","114060",""
"3001448","101370","107768",""
"3001450","111448","110985","3"
"3001451","112800","106946","1"
"3001453","","109819",""
"3001454","111245","116667","4"
"3001456","116451","109290","4"
"3001457","","101627",""
"3001458","","105625",""
"3001459","107114","112702","3"
"3001461","109920","117179","4"
"3001468","115765","111776","4"
"3001469","","100362",""
"3001473","117350","112179","3"
"3001474","117508","117397","1"
"3001475","","105836",""
"3001476","","100848",""
"3001477","101329","108632","1"
"3001478","107265","105622","1"
"3001480","110194","115888","4"
"3001481","","107269",""
"3001482","","108227",""
"3001487","","115924",""
"3001488","117389","103494",""
"3001491","114617","108078","2"
"3001492","110993","108823","1"
"3001494","","105170",""
"3001495","111850","111234","1"
"3001499","","101015",""
"3001500","108019","112179","1"
"3001508","109654","108492","4"
"3001512","112674","105516",""
"3001515","110505","104986","4"
"3001517","117502","103435",""
"3001519","","109422",""
"3001520","102177","101496",""
"3001524","108809","106722",""
"3001525","","105318",""
"3001529","","104761",""
"3001531","113809","102685","3"
"3001532","110561","102642","1"
"3001534","","114419",""
"3001536","103313","102493","4"
"3001537","","100742",""
"3001540","116306","105723",""
"3001541","","116315",""
"3001542","103613","102989","1"
"3001544","100519","100325","3"
"3001545","","100240",""
"3001546","106031","112623",""
"3001547","114282","116739",""
"3001548","","112105",""
"3001550","116104","110530",""
"3001551","117601","115125","4"
"3001553","","107679",""
"3001556","","114055",""
"3001557","","104420",""
"3001559","111943","111516","1"
"3001562","","104603",""
"3001563","","103649",""
"3001564","100345","108086",""
"3001565","","111424",""
"3001570","103891","103253","1"
"3001572","","114422",""
"3001573","104567","104356","4"
"3001578","","103026",""
"3001579","102259","103514","5"
"3001580","107002","117080",""
"3001584","","108887",""
"3001590","116111","114214",""
"3001593","116205","110003","5"
"3001594","106448","106196","5"
"3001595","116969","112669","5"
"3001596","117615","113129","2"
"3001597","115080","108110",""
"3001598","","100732",""
"3001599","","100617",""
"3001600","102369","117003","4"
"3001602","103937","108411","4"
"3001605","106914","102390",""
"3001606","","112570",""
"3001607","","100318",""
"3001609","","101547",""
"3001610","","106961",""
"3001611","103864","105928",""
"3001615","115595","106815",""
"3001616","115487","111217","2"
"3001617","","116177",""
"3001618","100503","103371","1"
"3001619","108573","101766",""
"3001620","114436","104300","1"
"3001621","","102984",""
"3001622","","101548",""
"3001626","102576","105319","5"
"3001628","101298","103822",""
"3001629","114242","110188","1"
"3001630","113991","103922",""
"3001631","","100959",""
"3001632","104780","101013","1"
"3001633","101272","101830","5"
"3001634","104854","112912",""
"3001635","100460","106099","1"
"3001637","113534","112760",""
"3001639","","104656",""
"3001640","107502","104791","1"
"3001642","","103983",""
"3001644","111443","102489",""
"3001648","100085","116721",""
"3001654","113976","112862","5"
"3001657","107518","107635",""
"3001658","","106613",""
"3001659","","101285",""
"3001661","","117433",""
"3001662","","102876",""
"3001663","111631","112683",""
"3001664","115369","101618","4"
"3001665","109735","113515",""
"3001668","106527","107826","4"
"3001673","","106032",""
"3001675","","103926",""
"3001677","112776","101742","3"
"3001679","106451","108830","1"
"3001684","","112257",""
"3001688","","108494",""
"3001690","107001","103664","4"
"3001691","105729","115629","2"
"3001692","","109026",""
"3001693","102212","115705",""
"3001694","115902","111948","5"
"3001696","108369","103329","4"
"3001702","","111790",""
"3001703","111037","100592",""
"3001707","","106130",""
"3001709","113482","109961",""
"3001713","102111","115721","1"
"3001714","","104960",""
"3001715","107977","104637","4"
"3001718","113977","113679",""
"3001719","","101560",""
"3001720","105190","112783","1"
"3001721","106142","108840","1"
"3001722","113424","110257","4"
"3001723","","115101",""
"3001726","107555","105227","5"
"3001727","115669","102094",""
"3001728","","104501",""
"3001730","","104475",""
"3001732","100952","107615","1"
"3001735","107529","107826","1"
"3001739","114966","110265","4"
"3001740","","106128",""
"3001741","","108831",""
"3001742","","102204",""
"3001743","","102133",""
"3001744","113628","114120",""
"3001745","","102433",""
"3001746","104697","113037",""
"3001750","","112590",""
"3001752","100981","113458",""
"3001754","110746","109831","2"
"3001755","112480","102094",""
"3001756","113575","110643","1"
"3001757","","111517",""
"3001758","106587","109402","1"
"3001759","","112321",""
"3001763","107923","100211","2"
"3001769","","114985",""
"3001770","100431","115306","4"
"3001771","","115259",""
"3001772","","117413",""
"3001773","","113908",""
"3001776","104024","106894",""
"3001778","108876","101490","1"
"3001779","109149","109348","5"
"3001781","104431","117597","4"
"3001782","100757","112480","4"
"3001784","","105470",""
"3001788","","103975",""
"3001790","100086","109155","3"
"3001792","107686","116526",""
"3001794","","111897",""
"3001796","","103428",""
"3001799","111826","101792","3"
"3001800","106789","110402","2"
"3001802","112965","102602",""
"3001807","108304","113418","1"
"3001808","","113733",""
"3001809","105369","113981","2"
"3001810","108604","115632","5"
"3001811","","100188",""
"3001812","108567","104024","3"
"3001814","","108978",""
"3001934","","109365",""
"3001815","106708","107615","4"
"3001819","","101128",""
"3001820","","106709",""
"3001822","103525","103358","5"
"3001823","","103442",""
"3001824","100797","111034","5"
"3001827","","115368",""
"3001828","","111259",""
"3001829","","102483",""
"3001835","113386","112666","3"
"3001836","113634","111430","5"
"3001837","","103761",""
"3001838","","101458",""
"3001840","","111519",""
"3001841","115374","113293",""
"3001842","109475","103182","5"
"3001843","","111793",""
"3001845","116613","115460","4"
"3001848","113097","104571",""
"3001849","113453","114059","1"
"3001851","","106856",""
"3001855","105293","108089","4"
"3001856","107944","100397",""
"3001857","","112714",""
"3001860","","110881",""
"3001861","108686","110716","4"
"3001864","105619","114026","1"
"3001865","112721","108360",""
"3001866","","106879",""
"3001867","110892","114319",""
"3001869","109591","110240","3"
"3001871","","107506",""
"3001873","104770","115775",""
"3001874","114504","113989",""
"3001875","108511","106962","4"
"3001876","","105700",""
"3001879","","113178",""
"3001880","115516","100652",""
"3001881","","110903",""
"3001885","115168","101096","4"
"3001892","111514","107305",""
"3001896","","108331",""
"3001898","110258","100839","1"
"3001900","","115386",""
"3001901","107004","110816",""
"3001903","108547","105055","5"
"3001904","112890","116600","3"
"3001906","","102358",""
"3001907","","116619",""
"3001908","","113036",""
"3001909","116137","105044","4"
"3001911","","103578",""
"3001913","107804","114156","5"
"3001915","103853","109526","1"
"3001917","","116595",""
"3001922","113045","101104",""
"3001923","103210","115930","3"
"3001924","","104741",""
"3001925","114277","100448",""
"3001927","","107797",""
"3001928","104647","111968",""
"3001930","113955","111372",""
"3001932","115510","101884","3"
"3001933","114704","104789","3"
"3001935","108468","101830","1"
"3001936","","116722",""
"3001937","","111588",""
"3001938","100721","113006","1"
"3001939","107259","104357","1"
"3001942","101531","102504",""
"3001944","114675","100373","5"
"3001945","107045","102568","1"
"3001950","","103659",""
"3001953","116004","110240","1"
"3001954","","100779",""
"3001956","","109688",""
"3001958","112369","113055",""
"3001960","","111668",""
"3001961","114731","115030",""
"3001963","105538","105099","4"
"3001965","109282","101619",""
"3001966","111235","102718",""
"3001968","108522","112755",""
"3001969","108646","110708","1"
"3001970","116851","100661","5"
"3001972","","104095",""
"3001976","104084","115405",""
"3001979","114645","114505","1"
"3001981","","112516",""
"3001983","103020","116704",""
"3001985","","100976",""
"3001986","","111019",""
"3001988","","114563",""
"3001990","","111042",""
"3001995","103557","111659","5"
"3001998","","112550",""
"3002001","","107140",""
"3002003","103311","113537",""
"3002005","","105817",""
"3002006","105547","106356",""
"3002012","106518","105413",""
"3002013","","113966",""
"3002015","115949","105085",""
"3002017","","115909",""
"3002020","102978","103473",""
"3002021","108321","107325","5"
"3002024","","107162",""
"3002025","","115679",""
"3002028","100996","116857",""
"3002029","109988","104314",""
"3002030","109250","113330",""
"3002032","","103409",""
"3002033","111617","113599",""
"3002037","109099","113096","3"
"3002040","115597","115786","3"
"3002045","110934","105156",""
"3002046","115027","109737","1"
"3002047","112256","117615",""
"3002048","108701","109284","5"
"3002050","111437","114644","4"
"3002053","","111677",""
"3002058","110989","107079","2"
"3002059","106451","101460","4"
"3328295","101886","111676",""
"3002060","110480","109942","3"
"3002064","","110896",""
"3002069","","104955",""
"3002070","","114543",""
"3002073","106419","111754",""
"3002074","","106980",""
"3002076","111115","110513","1"
"3002077","106916","113366","4"
"3002078","","112155",""
"3002081","108834","114003",""
"3002090","104512","106046","1"
"3002091","","109190",""
"3002092","103465","101258",""
"3002096","105922","111680",""
"3002102","107181","112653",""
"3002110","111772","105715","3"
"3002111","109555","109202",""
"3002116","107665","104503","1"
"3002121","100294","105049",""
"3002123","","117028",""
"3002124","101485","116355","5"
"3002126","114408","100438",""
"3002131","107295","113599",""
"3002132","115849","116651","4"
"3002134","109154","106463","5"
"3002135","","112578",""
"3002138","","100540",""
"3002142","","105918",""
"3002144","104726","107838","5"
"3002145","114289","104250","4"
"3002151","107115","116231",""
"3002152","","105286",""
"3002153","110318","116707",""
"3002155","","112006",""
"3002161","","102012",""
"3002163","110179","117080",""
"3002165","101864","102499","5"
"3002167","","101612",""
"3002170","112131","102413","2"
"3002171","","105545",""
"3002174","114843","100995","4"
"3002176","116500","105139","4"
"3002177","110043","114410","4"
"3002178","","115648",""
"3002179","","111746",""
"3002180","","114690",""
"3002181","","110899",""
"3002183","116291","103017",""
"3002187","111752","114834",""
"3002189","","102643",""
"3002190","","115901",""
"3002192","","114058",""
"3002193","109023","108089","5"
"3002194","100125","114225","5"
"3002197","108129","104822",""
"3002201","","112241",""
"3002204","116003","106283",""
"3002207","104299","108907",""
"3002209","","106308",""
"3002214","106672","106471","1"
"3002216","117482","105710","1"
"3002217","108553","107632",""
"3002219","","103316",""
"3002223","102237","101875","3"
"3002226","116485","111328",""
"3002230","117146","114195","4"
